Query Molecule,Canonicalization,Rank,Pubchem,Patent
Nirmatrelvir,RDKit Atom 0,15,https://pubchem.ncbi.nlm.nih.gov/compound/117757300,https://pubchem.ncbi.nlm.nih.gov/patent/EP-1730110-B9
Nirmatrelvir,RDKit Atom 0,16,https://pubchem.ncbi.nlm.nih.gov/compound/70672229,https://pubchem.ncbi.nlm.nih.gov/patent/US-8067379-B2
Nirmatrelvir,RDKit Atom 0,17,https://pubchem.ncbi.nlm.nih.gov/compound/69712881,https://pubchem.ncbi.nlm.nih.gov/patent/US-2004209897-A1
Nirmatrelvir,RDKit Atom 0,18,https://pubchem.ncbi.nlm.nih.gov/compound/58815070,https://pubchem.ncbi.nlm.nih.gov/patent/US-2007042968-A1
Nirmatrelvir,RDKit Atom 0,19,https://pubchem.ncbi.nlm.nih.gov/compound/91211330,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006281689-A1
Nirmatrelvir,RDKit Atom 0,20,https://pubchem.ncbi.nlm.nih.gov/compound/57842534,https://pubchem.ncbi.nlm.nih.gov/patent/US-7244721-B2
Nirmatrelvir,RDKIT Atom n,1,https://pubchem.ncbi.nlm.nih.gov/compound/58799854,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276406-A1
Nirmatrelvir,RDKIT Atom n,2,https://pubchem.ncbi.nlm.nih.gov/compound/89386569,None
Nirmatrelvir,RDKIT Atom n,3,https://pubchem.ncbi.nlm.nih.gov/compound/58799868,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276406-A1
Nirmatrelvir,RDKIT Atom n,4,https://pubchem.ncbi.nlm.nih.gov/compound/58799834,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276406-A1
Nirmatrelvir,RDKIT Atom n,5,https://pubchem.ncbi.nlm.nih.gov/compound/21017416,None
Nirmatrelvir,RDKIT Atom n,6,https://pubchem.ncbi.nlm.nih.gov/compound/58815070,https://pubchem.ncbi.nlm.nih.gov/patent/US-2007042968-A1
Nirmatrelvir,RDKIT Atom n,7,https://pubchem.ncbi.nlm.nih.gov/compound/58845760,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276405-A1
Nirmatrelvir,RDKIT Atom n,8,https://pubchem.ncbi.nlm.nih.gov/compound/91211330,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006281689-A1
Nirmatrelvir,RDKIT Atom n,9,https://pubchem.ncbi.nlm.nih.gov/compound/57842534,https://pubchem.ncbi.nlm.nih.gov/patent/US-7244721-B2
Nirmatrelvir,RDKIT Atom n,10,https://pubchem.ncbi.nlm.nih.gov/compound/89128765,None
Nirmatrelvir,RDKIT Atom n,11,https://pubchem.ncbi.nlm.nih.gov/compound/70332562,https://pubchem.ncbi.nlm.nih.gov/patent/US-7759499-B2
Nirmatrelvir,RDKIT Atom n,12,https://pubchem.ncbi.nlm.nih.gov/compound/58751308,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006252698-A1
Nirmatrelvir,RDKIT Atom n,13,https://pubchem.ncbi.nlm.nih.gov/compound/90824016,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276406-A1
Nirmatrelvir,RDKIT Atom n,14,https://pubchem.ncbi.nlm.nih.gov/compound/89072393,None
Nirmatrelvir,RDKIT Atom n,15,https://pubchem.ncbi.nlm.nih.gov/compound/58845752,https://pubchem.ncbi.nlm.nih.gov/patent/US-2006276406-A1
Nirmatrelvir,RDKIT Atom n,16,https://pubchem.ncbi.nlm.nih.gov/compound/10146053,None
Nirmatrelvir,RDKIT Atom n,17,https://pubchem.ncbi.nlm.nih.gov/compound/11251171,None
Nirmatrelvir,RDKIT Atom n,18,https://pubchem.ncbi.nlm.nih.gov/compound/143314765,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2006113942&_cid=P12-LFBD0D-74736-1
Nirmatrelvir,RDKIT Atom n,19,https://pubchem.ncbi.nlm.nih.gov/compound/58821357,https://pubchem.ncbi.nlm.nih.gov/patent/US-7192957-B2
Nirmatrelvir,RDKIT Atom n,20,https://pubchem.ncbi.nlm.nih.gov/compound/58821916,https://pubchem.ncbi.nlm.nih.gov/patent/US-7192957-B2
Nirmatrelvir,OEChem,1,https://pubchem.ncbi.nlm.nih.gov/compound/123307518,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2013107405-A1
Nirmatrelvir,OEChem,2,https://pubchem.ncbi.nlm.nih.gov/compound/87441437,https://pubchem.ncbi.nlm.nih.gov/patent/CA-2757866-A1
Nirmatrelvir,OEChem,3,https://pubchem.ncbi.nlm.nih.gov/compound/123215879,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2014089379-A1
Nirmatrelvir,OEChem,4,https://pubchem.ncbi.nlm.nih.gov/compound/5065329,None
Nirmatrelvir,OEChem,5,https://pubchem.ncbi.nlm.nih.gov/compound/71268558,https://pubchem.ncbi.nlm.nih.gov/patent/US-2013053410-A1
Nirmatrelvir,OEChem,6,https://pubchem.ncbi.nlm.nih.gov/compound/53344667,None
Nirmatrelvir,OEChem,7,https://pubchem.ncbi.nlm.nih.gov/compound/58262781,https://pubchem.ncbi.nlm.nih.gov/patent/US-2011117057-A1
Nirmatrelvir,OEChem,8,https://pubchem.ncbi.nlm.nih.gov/compound/137371163,https://pubchem.ncbi.nlm.nih.gov/patent/US-2019002436-A1
Nirmatrelvir,OEChem,9,https://pubchem.ncbi.nlm.nih.gov/compound/89114369,https://pubchem.ncbi.nlm.nih.gov/patent/US-2012270838-A1
Nirmatrelvir,OEChem,10,https://pubchem.ncbi.nlm.nih.gov/compound/11997330,None
Nirmatrelvir,OEChem,11,https://pubchem.ncbi.nlm.nih.gov/compound/123849611,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2011143521-A2
Nirmatrelvir,OEChem,12,https://pubchem.ncbi.nlm.nih.gov/compound/130253486,https://pubchem.ncbi.nlm.nih.gov/patent/US-9714243-B2
Nirmatrelvir,OEChem,13,https://pubchem.ncbi.nlm.nih.gov/compound/126592125,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2017025989-A1
Nirmatrelvir,OEChem,14,https://pubchem.ncbi.nlm.nih.gov/compound/67152605,https://pubchem.ncbi.nlm.nih.gov/patent/US-2011118283-A1
Nirmatrelvir,OEChem,15,https://pubchem.ncbi.nlm.nih.gov/compound/134321551,https://pubchem.ncbi.nlm.nih.gov/patent/EP-2941432-B1
Nirmatrelvir,OEChem,16,https://pubchem.ncbi.nlm.nih.gov/compound/155276168,https://pubchem.ncbi.nlm.nih.gov/patent/EP-2970283-B1
Nirmatrelvir,OEChem,17,https://pubchem.ncbi.nlm.nih.gov/compound/70239211,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2010021680-A2
Nirmatrelvir,OEChem,18,https://pubchem.ncbi.nlm.nih.gov/compound/88630878,https://pubchem.ncbi.nlm.nih.gov/patent/US-4889857-A
Nirmatrelvir,OEChem,19,https://pubchem.ncbi.nlm.nih.gov/compound/91802477,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2010043893-A1
Nirmatrelvir,OEChem,20,https://pubchem.ncbi.nlm.nih.gov/compound/49966021,None
Azidothymidine,RDKit Atom 0,1,https://pubchem.ncbi.nlm.nih.gov/compound/44326539,Bioassay
Azidothymidine,RDKit Atom 0,2,https://pubchem.ncbi.nlm.nih.gov/compound/57303117,https://pubchem.ncbi.nlm.nih.gov/patent/US-5064946-A
Azidothymidine,RDKit Atom 0,3,https://pubchem.ncbi.nlm.nih.gov/compound/157607985,https://pubchem.ncbi.nlm.nih.gov/patent/US-2013072458-A1
Azidothymidine,RDKit Atom 0,4,https://pubchem.ncbi.nlm.nih.gov/compound/71335580,NA
Azidothymidine,RDKit Atom 0,5,https://pubchem.ncbi.nlm.nih.gov/compound/21145774,Bioassay
Azidothymidine,RDKit Atom 0,6,https://pubchem.ncbi.nlm.nih.gov/compound/9816797,NA
Azidothymidine,RDKit Atom 0,7,https://pubchem.ncbi.nlm.nih.gov/compound/53721880,https://pubchem.ncbi.nlm.nih.gov/patent/US-6040297-A
Azidothymidine,RDKit Atom 0,8,https://pubchem.ncbi.nlm.nih.gov/compound/464363,NA
Azidothymidine,RDKit Atom 0,9,https://pubchem.ncbi.nlm.nih.gov/compound/57085874,https://pubchem.ncbi.nlm.nih.gov/patent/US-4681933-A
Azidothymidine,RDKit Atom 0,10,https://pubchem.ncbi.nlm.nih.gov/compound/91933148,NA
Azidothymidine,RDKit Atom 0,11,https://pubchem.ncbi.nlm.nih.gov/compound/44286560,Bioassay
Azidothymidine,RDKit Atom 0,12,https://pubchem.ncbi.nlm.nih.gov/compound/101438451,NA
Azidothymidine,RDKit Atom 0,13,https://pubchem.ncbi.nlm.nih.gov/compound/13989283,https://pubchem.ncbi.nlm.nih.gov/patent/US-2005026902-A1
Azidothymidine,RDKit Atom 0,14,https://pubchem.ncbi.nlm.nih.gov/compound/129675745,Book
Azidothymidine,RDKit Atom 0,15,https://pubchem.ncbi.nlm.nih.gov/compound/10469965,NA
Azidothymidine,RDKit Atom 0,16,https://pubchem.ncbi.nlm.nih.gov/compound/12922948,NA
Azidothymidine,RDKit Atom 0,17,https://pubchem.ncbi.nlm.nih.gov/compound/12922948,NA
Azidothymidine,RDKit Atom 0,18,https://pubchem.ncbi.nlm.nih.gov/compound/20158804,https://pubchem.ncbi.nlm.nih.gov/patent/US-2020399304-A1
Azidothymidine,RDKit Atom 0,19,https://pubchem.ncbi.nlm.nih.gov/compound/49769999,Publication
Azidothymidine,RDKit Atom 0,20,https://pubchem.ncbi.nlm.nih.gov/compound/10332953,NA
Azidothymidine,RDKIT Atom n,1,https://pubchem.ncbi.nlm.nih.gov/compound/10494229,None
Azidothymidine,RDKIT Atom n,2,https://pubchem.ncbi.nlm.nih.gov/compound/476466,https://pubmed.ncbi.nlm.nih.gov/8581428/
Azidothymidine,RDKIT Atom n,3,https://pubchem.ncbi.nlm.nih.gov/compound/102306428,None
Azidothymidine,RDKIT Atom n,4,https://pubchem.ncbi.nlm.nih.gov/compound/89763182,https://pubchem.ncbi.nlm.nih.gov/patent/EP-2631239-A1
Azidothymidine,RDKIT Atom n,5,https://pubchem.ncbi.nlm.nih.gov/compound/10501259,Activity assays
Azidothymidine,RDKIT Atom n,6,https://pubchem.ncbi.nlm.nih.gov/compound/89763189,https://pubchem.ncbi.nlm.nih.gov/patent/EP-2631239-A1
Azidothymidine,RDKIT Atom n,7,https://pubchem.ncbi.nlm.nih.gov/compound/162488274,https://patentscope.wipo.int/search/en/detail.jsf?docId=US343543783&_cid=P12-LFBDR5-84061-1
Azidothymidine,RDKIT Atom n,8,https://pubchem.ncbi.nlm.nih.gov/compound/90085164,https://pubchem.ncbi.nlm.nih.gov/patent/US-2014088117-A1
Azidothymidine,RDKIT Atom n,9,https://pubchem.ncbi.nlm.nih.gov/compound/89670654,https://pubchem.ncbi.nlm.nih.gov/patent/US-2013172402-A1
Azidothymidine,RDKIT Atom n,10,https://pubchem.ncbi.nlm.nih.gov/compound/25185465,https://pubchem.ncbi.nlm.nih.gov/patent/US-2012070415-A1
Azidothymidine,RDKIT Atom n,11,https://pubchem.ncbi.nlm.nih.gov/compound/10618341,Bioassay results
Azidothymidine,RDKIT Atom n,12,https://pubchem.ncbi.nlm.nih.gov/compound/89433120,https://pubchem.ncbi.nlm.nih.gov/patent/US-2013064794-A1
Azidothymidine,RDKIT Atom n,13,https://pubchem.ncbi.nlm.nih.gov/compound/135016033,https://www.thieme-connect.de/products/ejournals/abstract/10.1055/s-0029-1217566
Azidothymidine,RDKIT Atom n,14,https://pubchem.ncbi.nlm.nih.gov/compound/124122254,https://pubchem.ncbi.nlm.nih.gov/patent/AU-2015220560-B2
Azidothymidine,RDKIT Atom n,15,https://pubchem.ncbi.nlm.nih.gov/compound/71834937,None
Azidothymidine,RDKIT Atom n,16,https://pubchem.ncbi.nlm.nih.gov/compound/23384164,https://pubchem.ncbi.nlm.nih.gov/patent/US-2002028933-A1
Azidothymidine,RDKIT Atom n,17,https://pubchem.ncbi.nlm.nih.gov/compound/122418602,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2016113335-A1
Azidothymidine,RDKIT Atom n,18,https://pubchem.ncbi.nlm.nih.gov/compound/57155433,https://pubchem.ncbi.nlm.nih.gov/patent/WO-9961583-A2
Azidothymidine,RDKIT Atom n,19,https://pubchem.ncbi.nlm.nih.gov/compound/117680541,https://pubchem.ncbi.nlm.nih.gov/patent/US-2012070415-A1
Azidothymidine,RDKIT Atom n,20,https://pubchem.ncbi.nlm.nih.gov/compound/71477389,None
Azidothymidine,OEChem,1,https://pubchem.ncbi.nlm.nih.gov/compound/101424608,None
Azidothymidine,OEChem,2,https://pubchem.ncbi.nlm.nih.gov/compound/76847725,None
Azidothymidine,OEChem,3,https://pubchem.ncbi.nlm.nih.gov/compound/56679233,https://pubchem.ncbi.nlm.nih.gov/patent/ES-2458358-T3
Azidothymidine,OEChem,4,https://pubchem.ncbi.nlm.nih.gov/compound/89479439,https://pubchem.ncbi.nlm.nih.gov/patent/EP-2760857-A1
Azidothymidine,OEChem,5,https://pubchem.ncbi.nlm.nih.gov/compound/90445142,https://pubchem.ncbi.nlm.nih.gov/patent/US-2014271547-A1
Azidothymidine,OEChem,6,https://pubchem.ncbi.nlm.nih.gov/compound/130375412,https://pubchem.ncbi.nlm.nih.gov/patent/US-10449144-B2
Azidothymidine,OEChem,7,https://pubchem.ncbi.nlm.nih.gov/compound/57284777,https://pubchem.ncbi.nlm.nih.gov/patent/US-5585373-A
Azidothymidine,OEChem,8,https://pubchem.ncbi.nlm.nih.gov/compound/57155433,https://pubchem.ncbi.nlm.nih.gov/compound/57155433
Azidothymidine,OEChem,9,https://pubchem.ncbi.nlm.nih.gov/compound/10594262,None
Azidothymidine,OEChem,10,https://pubchem.ncbi.nlm.nih.gov/compound/136288884,None
Azidothymidine,OEChem,11,https://pubchem.ncbi.nlm.nih.gov/compound/102576629,None
Azidothymidine,OEChem,12,https://pubchem.ncbi.nlm.nih.gov/compound/88490101,https://pubchem.ncbi.nlm.nih.gov/patent/EP-0236074-A1
Azidothymidine,OEChem,13,https://pubchem.ncbi.nlm.nih.gov/compound/57103302,https://pubchem.ncbi.nlm.nih.gov/patent/EP-0351021-A2
Azidothymidine,OEChem,14,https://pubchem.ncbi.nlm.nih.gov/compound/68220216,https://pubchem.ncbi.nlm.nih.gov/patent/US-8034812-B2
Azidothymidine,OEChem,15,https://pubchem.ncbi.nlm.nih.gov/compound/19967798,https://pubchem.ncbi.nlm.nih.gov/patent/EP-0729070-A3
Azidothymidine,OEChem,16,https://pubchem.ncbi.nlm.nih.gov/compound/68220235,https://pubchem.ncbi.nlm.nih.gov/patent/US-8034812-B2
Azidothymidine,OEChem,17,https://pubchem.ncbi.nlm.nih.gov/compound/117680541,https://pubchem.ncbi.nlm.nih.gov/patent/US-2012070415-A1
Azidothymidine,OEChem,18,https://pubchem.ncbi.nlm.nih.gov/compound/6333312,None
Azidothymidine,OEChem,19,https://pubchem.ncbi.nlm.nih.gov/compound/130290413,https://pubchem.ncbi.nlm.nih.gov/patent/US-2017216275-A1
Azidothymidine,OEChem,20,https://pubchem.ncbi.nlm.nih.gov/compound/22677591,None
LSD,RDKit Atom 0,1,https://pubchem.ncbi.nlm.nih.gov/compound/3938,https://pubchem.ncbi.nlm.nih.gov/patent/WO-2020068832-A1
LSD,RDKit Atom 0,2,https://pubchem.ncbi.nlm.nih.gov/compound/165200,many
LSD,RDKit Atom 0,3,https://pubchem.ncbi.nlm.nih.gov/compound/56988771,https://pubchem.ncbi.nlm.nih.gov/patent/DE-2924102-A1
LSD,RDKit Atom 0,4,https://pubchem.ncbi.nlm.nih.gov/compound/9884289,n/a
LSD,RDKit Atom 0,5,https://pubchem.ncbi.nlm.nih.gov/compound/134553,many
LSD,RDKit Atom 0,6,https://pubchem.ncbi.nlm.nih.gov/compound/24837792,https://pubchem.ncbi.nlm.nih.gov/patent/US-3944582-A
LSD,RDKit Atom 0,7,https://pubchem.ncbi.nlm.nih.gov/compound/10427207,"some, bioassays"
LSD,RDKit Atom 0,8,https://pubchem.ncbi.nlm.nih.gov/compound/13059865, 
LSD,RDKit Atom 0,9,https://pubchem.ncbi.nlm.nih.gov/compound/76683560, 
LSD,RDKit Atom 0,10,https://pubchem.ncbi.nlm.nih.gov/compound/130318308, 
LSD,RDKit Atom 0,11,https://pubchem.ncbi.nlm.nih.gov/compound/13770164, 
LSD,RDKit Atom 0,12,https://pubchem.ncbi.nlm.nih.gov/compound/45357584, 
LSD,RDKit Atom 0,13,https://pubchem.ncbi.nlm.nih.gov/compound/3039342, 
LSD,RDKit Atom 0,14,https://pubchem.ncbi.nlm.nih.gov/compound/13823178, 
LSD,RDKit Atom 0,15,https://pubchem.ncbi.nlm.nih.gov/compound/67937682, 
LSD,RDKit Atom 0,16,https://pubchem.ncbi.nlm.nih.gov/compound/88985978, 
LSD,RDKit Atom 0,17,https://pubchem.ncbi.nlm.nih.gov/compound/70430592, 
LSD,RDKit Atom 0,18,https://pubchem.ncbi.nlm.nih.gov/compound/57175320, 
LSD,RDKit Atom 0,19,https://pubchem.ncbi.nlm.nih.gov/compound/13192408, 
LSD,RDKit Atom 0,20,https://pubchem.ncbi.nlm.nih.gov/compound/13192405, 
LSD,RDKIT Atom n,1,https://pubchem.ncbi.nlm.nih.gov/compound/44457782,https://pubchem.ncbi.nlm.nih.gov/patent/US-2021346346-A1
LSD,RDKIT Atom n,2,https://pubchem.ncbi.nlm.nih.gov/compound/132584757,n/a
LSD,RDKIT Atom n,3,https://pubchem.ncbi.nlm.nih.gov/compound/3058122,n/a
LSD,RDKIT Atom n,4,https://pubchem.ncbi.nlm.nih.gov/compound/10640901,n/a
LSD,RDKIT Atom n,5,https://pubchem.ncbi.nlm.nih.gov/compound/67938090,https://pubchem.ncbi.nlm.nih.gov/patent/EP-0220129-B1
LSD,RDKIT Atom n,6,https://pubchem.ncbi.nlm.nih.gov/compound/14723139,https://pubchem.ncbi.nlm.nih.gov/patent/US-5411966-A
